question_id,sample_index,run_label,query,model,retrieval_mode,recall@k,ndcg@k,mrr,rank_first_rel,keyword_f1,missing_keywords,time_s,tokens_in,tokens_out,factual_correct,top_k,bm25_in_topk,dense_in_topk,overlap_in_topk,rerank_delta_top1,avg_score_delta_topk,kendall_tau_topk,format_bullet_keyword,format_citation_per_bullet,contains_nicht_im_kontext,bullet_count,embedding_model,chunk_strategy,chunk_size_tokens,chunk_overlap_tokens,reranker_enabled,index_base,error_bucket
G001_01,0,sentence_transformers_all_minilm_l6_v2__semantic_overlap20__bm25__reranker,Softphone Kennwort aendern,llama3:8b,bm25,1.0,1.0,1.0,1,0.5714,,4.1372,886,31,1,10,10,0,0,0.267796,0.026442,0.377778,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G002_01,1,sentence_transformers_all_minilm_l6_v2__semantic_overlap20__bm25__reranker,Softphone Anmeldedaten speichern aktivieren,llama3:8b,bm25,1.0,1.0,1.0,1,1.0,,3.9157,497,29,1,10,10,0,0,0.275288,0.025791,0.466667,1,0,1,2,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G003_01,2,sentence_transformers_all_minilm_l6_v2__semantic_overlap20__bm25__reranker,Softphone Erstanmeldung mit DLS PIN,llama3:8b,bm25,1.0,1.0,1.0,1,0.6667,,4.1765,735,36,1,10,10,0,0,0.204649,-0.002749,0.555556,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G004_01,3,sentence_transformers_all_minilm_l6_v2__semantic_overlap20__bm25__reranker,Softphone vollstaendig beenden,llama3:8b,bm25,1.0,1.0,1.0,1,0.8571,,3.9047,372,34,1,10,10,0,0,0.214857,-0.051387,0.6,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G005_01,4,sentence_transformers_all_minilm_l6_v2__semantic_overlap20__bm25__reranker,Softphone Fusion Leiste Funktionen,llama3:8b,bm25,1.0,1.0,1.0,1,0.8571,,4.0047,366,32,1,10,10,0,0,0.200903,-0.070534,0.733333,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G006_01,5,sentence_transformers_all_minilm_l6_v2__semantic_overlap20__bm25__reranker,Softphone praefiertes Endgeraet wechseln,llama3:8b,bm25,1.0,1.0,1.0,1,0.8571,,3.9496,400,33,1,10,10,0,0,0.287404,0.034352,0.511111,1,0,1,2,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G007_01,6,sentence_transformers_all_minilm_l6_v2__semantic_overlap20__bm25__reranker,Softphone One Number Service konfigurieren,llama3:8b,bm25,0.8,0.8688,1.0,1,1.0,,4.3125,911,31,1,10,10,0,0,0.269117,0.007333,0.422222,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G008_01,7,sentence_transformers_all_minilm_l6_v2__semantic_overlap20__bm25__reranker,Softphone Rufnummernanzeige steuern (CLIR),llama3:8b,bm25,1.0,1.0,1.0,1,0.4,,3.9786,411,34,1,10,10,0,0,0.362746,-0.001389,0.511111,1,0,0,1,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G009_01,8,sentence_transformers_all_minilm_l6_v2__semantic_overlap20__bm25__reranker,Softphone Rufnummer fuer CLIR deaktivieren,llama3:8b,bm25,1.0,1.0,1.0,1,0.6667,,3.9898,465,34,1,10,10,0,0,0.267327,0.040983,0.511111,1,0,0,2,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,C
G010_01,9,sentence_transformers_all_minilm_l6_v2__semantic_overlap20__bm25__reranker,Softphone Rufnummernanzeige fuer Kontakte anpassen,llama3:8b,bm25,1.0,0.9675,1.0,1,0.4,,3.9719,405,32,1,10,10,0,0,0.326665,-0.019799,0.377778,1,1,0,1,sentence-transformers/all-MiniLM-L6-v2,semantic_overlap20,420,84,1,C:\Users\Administrator\SupportApp\SupportApp\app\chatbot\data\faiss_index\index_sentence_transformers_all_minilm_l6_v2_semantic_overlap20,OK
